bin_index,R,candidate,power_U,start,duration,exposure,initial_signed_tensor_density,initial_RF_dQdt_per_U,Iplus_initial,Iminus_initial,Iplus_final,Iminus_final
0,-3.0,0,0.0,0.0,0.19693793171894836,0.0,0.0005334364583001128,-1.1418838792071145e-06,0.0019189253802844612,0.0007207466906886802,0.001909997071827172,0.000713791172890783
1,-2.9914285714285715,0,0.0,0.0,0.19693793171894836,0.0,0.0005393301456462663,-1.154500014577962e-06,0.0019371740723814223,0.0007257572726575772,0.0019281612913662654,0.0007187540895063128
2,-2.9828571428571427,0,0.0,0.0,0.19693793171894836,0.0,0.000545336817321824,-1.1673580062792915e-06,0.0019557311825760732,0.0007308224928903258,0.001946632528078234,0.0007237711375443851
3,-2.974285714285714,0,0.0,0.0,0.19693793171894836,0.0,0.0005514596091534011,-1.1804645669191442e-06,0.001974604576285096,0.0007359431732643715,0.0019654186149780976,0.0007288431294646462
4,-2.9657142857142857,0,0.0,0.0,0.19693793171894836,0.0,0.00055770177124692,-1.1938266537339468e-06,0.001993802391472002,0.0007411201515154403,0.0019845276547060184,0.0007339708952206855
5,-2.9571428571428573,0,0.0,0.0,0.19693793171894836,0.0,0.0005640666731544167,-1.2074514796486692e-06,0.002013333050629764,0.0007463542816147402,0.0020039680320025847,0.0007391552820860598
6,-2.9485714285714284,0,0.0,0.0,0.19693793171894836,0.0,0.0005705578093297594,-1.2213465249554373e-06,0.002033205273418963,0.0007516464341527534,0.0020237484269083157,0.0007443971544246713
7,-2.94,0,0.0,0.0,0.19693793171894836,0.0,0.0005771788048762691,-1.235519549616995e-06,0.002053428089974789,0.0007569974967362003,0.002043877828436759,0.0007496973936703481
8,-2.9314285714285715,0,0.0,0.0,0.19693793171894836,0.0,0.0005839334216255972,-1.2499786062792615e-06,0.0020740108549673546,0.0007624083743942885,0.0020643655487944082,0.0007550568985194754
9,-2.922857142857143,0,0.0,0.0,0.19693793171894836,0.0,0.0005908255645346941,-1.2647320539647996e-06,0.0020949632623903213,0.0007678799899987807,0.0020852212381934237,0.000760476585269039
10,-2.914285714285714,0,0.0,0.0,0.19693793171894836,0.0,0.0005978592884605778,-1.2797885725750092e-06,0.002116295361207674,0.0007734132846936141,0.0021064549004511037,0.0007659573882316292
11,-2.9057142857142857,0,0.0,0.0,0.19693793171894836,0.0,0.0006050388053133627,-1.2951571782020332e-06,0.002138017571864318,0.0007790092183387218,0.0021280769094201785,0.0007715002601929638
12,-2.8971428571428572,0,0.0,0.0,0.19693793171894836,0.0,0.0006123684916152514,-1.3108472393096733e-06,0.0021601407037206474,0.0007846687699659617,0.0021500980263311083,0.0007771061728905649
13,-2.888571428571429,0,0.0,0.0,0.19693793171894836,0.0,0.000619852896502994,-1.3268684938636017e-06,0.0021826759734958467,0.0007903929382476922,0.002172529418138123,0.0007827761175053135
14,-2.88,0,0.0,0.0,0.19693793171894836,0.0,0.0006274967501934933,-1.3432310674529916e-06,0.002205635024765736,0.0007961827419795895,0.002195382676918622,0.0007885111051648289
15,-2.8714285714285714,0,0.0,0.0,0.19693793171894836,0.0,0.0006353049729461305,-1.3599454924754345e-06,0.0022290299485900737,0.000802039220577217,0.002218669840401562,0.0007943121674571277
16,-2.862857142857143,0,0.0,0.0,0.19693793171894836,0.0,0.0006432826845692109,-1.377022728486614e-06,0.0022528733053773964,0.0008079634345879545,0.0022424034137315655,0.0008001803569566524
17,-2.854285714285714,0,0.0,0.0,0.19693793171894836,0.0,0.0006514352144787211,-1.3944741837322661e-06,0.002277178148003618,0.0008139564662161143,0.002266596392485016,0.0008061167477610674
18,-2.8457142857142856,0,0.0,0.0,0.19693793171894836,0.0,0.0006597681123864316,-1.412311738027327e-06,0.002301958046361793,0.0008200194198656122,0.0022912622871143202,0.0008121224360438051
19,-2.837142857142857,0,0.0,0.0,0.19693793171894836,0.0,0.0006682871596278318,-1.4305477670047202e-06,0.00232722711336433,0.0008261534226979325,0.002316415148840748,0.0008181985406204604
20,-2.8285714285714287,0,0.0,0.0,0.19693793171894836,0.0,0.0006769983812015615,-1.4491951678871827e-06,0.0023530000325590046,0.0008323596252057672,0.0023420695971567342,0.0008243462035301764
21,-2.82,0,0.0,0.0,0.19693793171894836,0.0,0.0006859080585489863,-1.4682673868434602e-06,0.0023792920874265676,0.000838639201805763,0.002368240849004376,0.0008305665906355066
22,-2.8114285714285714,0,0.0,0.0,0.19693793171894836,0.0,0.0006950227431556426,-1.487778448103811e-06,0.0024061191925405633,0.0008449933514474541,0.002394944749810611,0.000836860892238373
23,-2.802857142857143,0,0.0,0.0,0.19693793171894836,0.0,0.0007043492710048233,-1.5077429848996147e-06,0.0024334979266603324,0.0008514232982413238,0.0024221978064487395,0.0008432303237151533
24,-2.7942857142857145,0,0.0,0.0,0.19693793171894836,0.0,0.0007138947779729486,-1.528176272418986e-06,0.0024614455679586185,0.0008579302921060943,0.002450017222327904,0.0008496761261713103
25,-2.7857142857142856,0,0.0,0.0,0.19693793171894836,0.0,0.0007236667162207912,-1.5490942628941348e-06,0.0024899801315051806,0.0008645156094351746,0.0024784209347308035,0.0008561995671156719
26,-2.777142857142857,0,0.0,0.0,0.19693793171894836,0.0,0.0007336728716696649,-1.5705136230112139e-06,0.0025191204092081363,0.0008711805537838475,0.0025074276546008583,0.0008628019411560737
27,-2.7685714285714287,0,0.0,0.0,0.19693793171894836,0.0,0.0007439213826293648,-1.5924517737856305e-06,0.0025488860123637287,0.0008779264565778778,0.002537056908929104,0.0008694845707173335
28,-2.76,0,0.0,0.0,0.19693793171894836,0.0,0.000754420759691746,-1.6149269331466074e-06,0.0025792974170703734,0.0008847546778435855,0.002567329085995854,0.0008762488067816333
29,-2.7514285714285713,0,0.0,0.0,0.19693793171894836,0.0,0.0007651799069642671,-1.6379581613900938e-06,0.0026103760126754694,0.0008916666069609085,0.0025982654836350706,0.0008830960296531565
30,-2.742857142857143,0,0.0,0.0,0.19693793171894836,0.0,0.0007762081447710206,-1.661565409773011e-06,0.0026421441535419287,0.0008986636634400073,0.0026298883608075804,0.0008900276497476949
31,-2.7342857142857144,0,0.0,0.0,0.19693793171894836,0.0,0.000787515233926077,-1.6857695724732146e-06,0.0026746252143700962,0.000905747297721589,0.0026622209927183336,0.0008970451084075607
32,-2.7257142857142855,0,0.0,0.0,0.19693793171894836,0.0,0.0007991114017176271,-1.7105925422116314e-06,0.0027078436493890856,0.0009129189920039425,0.002695287729790597,0.0009041498787451642
33,-2.717142857142857,0,0.0,0.0,0.19693793171894836,0.0,0.0008110073697331406,-1.7360572698153002e-06,0.002741825055707936,0.0009201802610945978,0.0027291140607873087,0.0009113434665133306
34,-2.7085714285714286,0,0.0,0.0,0.19693793171894836,0.0,0.000823214383695444,-1.7621878280850319e-06,0.0027765962412113453,0.0009275326532897303,0.002763726680462813,0.0009186274110058979
35,-2.7,0,0.0,0.0,0.19693793171894836,0.0,0.0008357442454573437,-1.7890094802836851e-06,0.0028121852973325007,0.0009349777512822435,0.002799153562077311,0.0009260032859898267
36,-2.6914285714285713,0,0.0,0.0,0.19693793171894836,0.0,0.0008486093473637911,-1.8165487536924486e-06,0.0028486216771719526,0.0009425171730980448,0.002835424035241736,0.0009334727006687857
37,-2.682857142857143,0,0.0,0.0,0.19693793171894836,0.0,0.0008618227091717133,-1.8448335186421068e-06,0.002885936279392856,0.0009501525730637779,0.002872568869522666,0.0009410373006820071
38,-2.6742857142857144,0,0.0,0.0,0.19693793171894836,0.0,0.0008753980177502156,-1.8738930734960288e-06,0.0029241615383911006,0.0009578856428043145,0.0029106203643049066,0.0009486987691372316
39,-2.6657142857142855,0,0.0,0.0,0.19693793171894836,0.0,0.0008893496698180313,-1.90375823613473e-06,0.0029633315213218616,0.0009657181122745559,0.0029496124454925004,0.0009564588276830129
40,-2.657142857142857,0,0.0,0.0,0.19693793171894836,0.0,0.0009036928179891122,-1.9344614425219124e-06,0.00300348203259003,0.0009736517508245217,0.0029895807696544954,0.0009643192376201684
41,-2.6485714285714286,0,0.0,0.0,0.19693793171894836,0.0,0.000918443420419838,-1.9660368529801964e-06,0.003044650726464521,0.0009816883682985417,0.0030305628362753854,0.0009722818010541349
