duration,Q_search,Q_no_RF,iterations,evaluations,converged,message
0.01,0.1938396592063682,0.15812595436061372,28,33,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.02418271175121958,0.20958674089465681,0.15812595436061372,19,23,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.05848035476425734,0.2180156305871997,0.15812595436061372,42,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.1414213562373095,0.22444720560872283,0.15812595436061372,52,62,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT; CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.3419951893353395,0.22513239193313384,0.15812595436061372,60,71,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT; STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
0.8270371084000279,0.22368036702432936,0.15812595436061372,60,76,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT; STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
2.0,0.22024128057993192,0.15812595436061372,60,72,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT; STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
0.21992140301125573,0.225306887470028,0.15812595436061372,60,80,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT; STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
0.1763564092384048,0.22506940785440183,0.15812595436061372,60,67,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT; STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
0.19693793171894836,0.225229204334198,0.15812595436061372,60,66,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT; STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
