time_after_start,P,Q
0.0,0.45000000000000007,0.15812595436061372
0.000375,0.4497887259250993,0.1585697633899013
0.00075,0.4495783989087462,0.15901093008163159
0.0011250000000000001,0.4493690138930445,0.15944946956897077
0.0015,0.4491605658490751,0.15988539689702158
0.001875,0.44895304977672407,0.16031872702334737
0.00225,0.44874646070451185,0.160749474818493
0.0026249999999999997,0.4485407936894232,0.16117765506650228
0.0029999999999999996,0.4483360438167382,0.16160328246543296
0.0033749999999999995,0.44813220619986494,0.16202637162786782
0.0037499999999999994,0.44792927598017185,0.16244693708142313
0.004124999999999999,0.4477272483268228,0.1628649932692539
0.0045,0.4475261184366114,0.16328055455055612
0.004875,0.44732588153379793,0.16369363520106567
0.00525,0.44712653286994586,0.1641042494135548
0.005625000000000001,0.4469280677237607,0.16451241129832483
0.006000000000000001,0.44673048140092864,0.16491813488369667
0.006375000000000001,0.4465337692339567,0.16532143411649758
0.006750000000000002,0.44633792658201404,0.1657223228625456
0.007125000000000002,0.446142948830774,0.16612081490713076
0.007500000000000002,0.4459488313922568,0.1665169239554934
0.007875000000000002,0.44575556970467384,0.1669106636332995
0.008250000000000002,0.4455631592322725,0.16730204748711353
0.008625000000000002,0.445371595465182,0.16769108898486776
0.009000000000000003,0.4451808739192601,0.16807780151632948
0.009375000000000003,0.4449909901359408,0.16846219839356466
0.009750000000000003,0.44480193968208304,0.16884429285139946
0.010125000000000004,0.4446137181498203,0.16922409804787855
0.010500000000000004,0.44442632115641084,0.16960162706472065
0.010875000000000004,0.4442397443440894,0.16997689290777154
0.011250000000000005,0.4440539833799194,0.17034990850745413
0.011625000000000005,0.44386903395564536,0.1707206867192159
0.012000000000000005,0.4436848917875481,0.1710892403239736
0.012375000000000006,0.4435015526162992,0.17145558202855526
0.012750000000000006,0.44331901220681613,0.17181972446613955
0.013125000000000006,0.4431372663481201,0.17218168019669244
0.013500000000000007,0.4429563108531928,0.17254146170740123
0.013875000000000007,0.44277614155883505,0.1728990814131059
0.014250000000000007,0.44259675432552603,0.17325455165672818
0.014625000000000008,0.4424181450372835,0.17360788470969735
0.015000000000000008,0.4422403096015247,0.1739590927723742
0.015375000000000008,0.44206324394892804,0.174308187974472
0.015750000000000007,0.44188694403329587,0.17465518237547495
0.016125000000000007,0.4417114058314179,0.17500008796505423
0.016500000000000008,0.44153662534293553,0.17534291666348145
0.016875000000000008,0.44136259859020693,0.1756836803220398
0.01725000000000001,0.441189321618173,0.17602239072343212
0.01762500000000001,0.44101679049422404,0.1763590595821875
0.01800000000000001,0.44084500130806736,0.17669369854506434
0.01837500000000001,0.4406739501715956,0.1770263191914518
0.01875000000000001,0.44050363321875585,0.17735693303376837
0.01912500000000001,0.4403340466054197,0.17768555151785817
0.01950000000000001,0.44016518650925374,0.17801218602338492
