profile_id,profile,profile_enabled,enabled,bin_index,R,rate,start,duration,n_bins,r_min,r_max,gain
0,Negative-R region,1,1,230,-1.0285714285714285,0.8208817507671242,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,231,-1.0199999999999998,2.4694446716640854,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,232,-1.0114285714285713,3.268388480158551,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,233,-1.0028571428571427,3.620817780964013,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,234,-0.9942857142857142,3.719261853913971,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,235,-0.9857142857142858,3.67365771139122,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,236,-0.9771428571428569,3.5555095966485712,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,237,-0.9685714285714284,3.4150425604942303,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,238,-0.96,3.2867644154994577,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,239,-0.9514285714285715,3.1896052618204247,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,240,-0.9428571428571426,3.1294637073467935,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,241,-0.9342857142857142,3.1026936381517527,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,242,-0.9257142857142857,3.101542140533127,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,243,-0.9171428571428573,3.1174361300462063,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,244,-0.9085714285714284,3.1442681796461347,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,245,-0.8999999999999999,3.1766667993116267,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,246,-0.8914285714285715,3.2111580127850563,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,247,-0.8828571428571426,3.2465885831713552,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,248,-0.8742857142857141,3.2800502592605736,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,249,-0.8657142857142857,3.3118676560710765,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,250,-0.8571428571428572,3.341181207765419,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,251,-0.8485714285714283,3.367713553748925,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,252,-0.8399999999999999,3.391409751539239,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,253,-0.8314285714285714,3.4121606777067317,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,254,-0.822857142857143,3.4299600019579515,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,255,-0.8142857142857141,3.4448728009508374,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,256,-0.8057142857142856,3.456969495750984,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,257,-0.7971428571428572,3.4663154320009886,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,258,-0.7885714285714283,3.4729770735781114,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,259,-0.7799999999999998,3.4770222013614847,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,260,-0.7714285714285714,3.4785165672128175,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,261,-0.7628571428571429,3.477521348391228,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,262,-0.754285714285714,3.4740920448349213,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,263,-0.7457142857142856,3.468278106192106,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,264,-0.7371428571428571,3.460122803612136,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,265,-0.7285714285714286,3.449663212004484,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,266,-0.7199999999999998,3.4369302831343735,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,267,-0.7114285714285713,3.421948985436896,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,268,-0.7028571428571428,3.404738474083154,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,269,-0.694285714285714,3.385312260618552,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,270,-0.6857142857142855,3.3636783649944095,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,271,-0.677142857142857,3.3398394434348027,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,272,-0.6685714285714286,3.313792890625946,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,273,-0.6599999999999997,3.2855309159166293,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,274,-0.6514285714285712,3.2550405929027812,0.0,0.19693793171894836,701,-3.0,3.0,1.0
0,Negative-R region,1,1,275,-0.6428571428571428,3.222303881317055,0.0,0.19693793171894836,701,-3.0,3.0,1.0
