bin_index,R,planned_base_exposure,delivered_base_exposure
619,2.305714285714286,0.0,0.0
620,2.314285714285715,0.0,0.0
621,2.322857142857143,0.0,0.0
622,2.331428571428572,0.0,0.0
623,2.34,0.0,0.0
624,2.3485714285714288,0.0,0.0
625,2.3571428571428577,0.0,0.0
626,2.3657142857142857,0.0,0.0
627,2.3742857142857146,0.0,0.0
628,2.3828571428571435,0.0,0.0
629,2.3914285714285715,0.0,0.0
630,2.4000000000000004,0.0,0.0
631,2.4085714285714293,0.0,0.0
632,2.4171428571428573,0.0,0.0
633,2.425714285714286,0.0,0.0
634,2.434285714285714,0.0,0.0
635,2.442857142857143,0.0,0.0
636,2.451428571428572,0.0,0.0
637,2.46,0.0,0.0
638,2.468571428571429,0.0,0.0
639,2.4771428571428578,0.0,0.0
640,2.4857142857142858,0.0,0.0
641,2.4942857142857147,0.0,0.0
642,2.5028571428571436,0.0,0.0
643,2.5114285714285716,0.0,0.0
644,2.5200000000000005,0.0,0.0
645,2.5285714285714285,0.0,0.0
646,2.5371428571428574,0.0,0.0
647,2.5457142857142863,0.0,0.0
648,2.5542857142857143,0.0,0.0
649,2.562857142857143,0.0,0.0
650,2.571428571428572,0.0,0.0
651,2.58,0.0,0.0
652,2.588571428571429,0.0,0.0
653,2.597142857142858,0.0,0.0
654,2.605714285714286,0.0,0.0
655,2.6142857142857148,0.0,0.0
656,2.6228571428571428,0.0,0.0
657,2.6314285714285717,0.0,0.0
658,2.6400000000000006,0.0,0.0
659,2.6485714285714286,0.0,0.0
660,2.6571428571428575,0.0,0.0
661,2.6657142857142864,0.0,0.0
662,2.6742857142857144,0.0,0.0
663,2.6828571428571433,0.0,0.0
664,2.6914285714285713,0.0,0.0
665,2.7,0.0,0.0
666,2.708571428571429,0.0,0.0
667,2.717142857142857,0.0,0.0
668,2.725714285714286,0.0,0.0
669,2.734285714285715,0.0,0.0
670,2.742857142857143,0.0,0.0
671,2.751428571428572,0.0,0.0
672,2.7600000000000007,0.0,0.0
673,2.7685714285714287,0.0,0.0
674,2.7771428571428576,0.0,0.0
675,2.7857142857142856,0.0,0.0
676,2.7942857142857145,0.0,0.0
677,2.8028571428571434,0.0,0.0
678,2.8114285714285714,0.0,0.0
679,2.8200000000000003,0.0,0.0
680,2.828571428571429,0.0,0.0
681,2.837142857142857,0.0,0.0
682,2.845714285714286,0.0,0.0
683,2.854285714285715,0.0,0.0
684,2.862857142857143,0.0,0.0
685,2.871428571428572,0.0,0.0
686,2.88,0.0,0.0
